iter	Passed	Remaining
0	182	90942
1	344	85725
2	507	84055
3	667	82731
4	832	82380
5	1035	85250
6	1184	83453
7	1322	81319
8	1487	81174
9	9	1905	93381010	2161	96081111	2363	96121212	2673	100113	13	2836	98414	14	3002	97015	15	3164	95740
16	3324	94445
17	3471	92956
18	3624	91748
19	3771	90522
20	3934	89737
21	4090	88874
22	4240	87946
23	4399	87255
24	4557	86600
25	4731	86250
26	4896	85786
27	5077	85594
28	5242	85138
29	5387	84408
30	5607	84834
31	5862	85737
32	6077	86012
33	6340	86905
34	6663	88528
35	6808	87752
36	6959	87089
37	7097	86290
38	7260	85826
39	7415	85276
40	7559	84627
41	7750	84513
42	7961	84613
43	8207	85057
44	8351	84443
45	8485	83749
46	8638	83257
47	8777	82650
48	8922	82121
49	9065	81589
50	9215	81128
51	9352	80575
52	9493	80068
53	9642	79640
54	9790	79213
55	9929	78724
56	10069	78257
57	10212	77823
58	10346	77338
59	10488	76917
60	10639	76566
61	10822	76453
62	11034	76538
63	11182	76182
64	11328	75812
65	11486	75533
66	11660	75357
67	11807	75010
68	11944	74610
69	12093	74291
70	12248	74008
71	12393	73672
72	12538	73339
73	12688	73043
74	12821	72654
75	12958	72297
76	13093	71926
77	13242	71647
78	13444	71649
79	13740	72138
80	13915	71984
81	14062	71684
82	14227	71480
83	14394	71287
84	14565	71116
85	14730	70913
86	14878	70628
87	15015	70298
88	15261	70479
89	15458	70421
90	15613	70176
91	15777	69970
92	15926	69700
93	16077	69440
94	16252	69288
95	16397	69004
96	16544	68738
97	16667	68370
98	16822	68139
99	16992	67971
100	17141	67716
101	17298	67499
102	17462	67307
103	17638	67160
104	17783	66900
105	17927	66635
106	18086	66430
107	18223	66146
108	18350	65826
109	18494	65570
110	18641	65328
111	18766	65012
112	18922	64804
113	19163	64885
114	19378	64876
115	19536	64672
116	19714	64534
117	19870	64325
118	20010	64067
119	20145	63795
120	20276	63509
121	20423	63280
122	20558	63012
123	20686	62726
124	20807	62422
125	20948	62179
126	21072	61890
127	21181	61557
128	21302	61263
129	21409	60933
130	21532	60651
131	21648	60353
132	21782	60105
133	21912	59851
134	22032	59568
135	22150	59285
136	22279	59033
137	22419	58811
138	22561	58594
139	22708	58394
140	22842	58158
141	22967	57904
142	23090	57646
143	23262	57510
144	23422	57345
145	23567	57143
146	23700	56914
147	23822	56658
148	23981	56494
149	24139	56324
150	24279	56117
151	24398	55859
152	24567	55717
153	24796	55711
154	24951	55536
155	25075	55295
156	25231	55124
157	25491	55178
158	25726	55174
159	25967	55180
160	26359	55503
161	26589	55477
162	26763	55333
163	26902	55117
164	27033	54886
165	27162	54652
166	27285	54407
167	27432	54210
168	27537	53934
169	27647	53668
170	27760	53409
171	27840	53091
172	27920	52775
173	28001	52463
174	28080	52150
175	28164	51848
176	28253	51558
177	28371	51323
178	28476	51066
179	28592	50831
180	28674	50536
181	28762	50255
182	28841	49959
183	28922	49670
184	28999	49378
185	29087	49104
186	29175	48833
187	29258	48556
188	29330	48263
189	29413	47990
190	29501	47727
191	29578	47448
192	29663	47185
193	29750	46926
194	29830	46657
195	29917	46402
196	30054	46226
197	30219	46092
198	30341	45893
199	30425	45638
200	30503	45375
201	30568	45096
202	30640	44829
203	30718	44571
204	30791	44309
205	30859	44042
206	30941	43796
207	31012	43536
208	31101	43303
209	31184	43064
210	31264	42821
211	31347	42585
212	31438	42361
213	31539	42150
214	31780	42127
215	31877	41912
216	31971	41695
217	32064	41478
218	32141	41240
219	32229	41018
220	32332	40818
221	32421	40599
222	32505	40376
223	32606	40176
224	32731	40005
225	32855	39833
226	32965	39645
227	33076	39460
228	33148	39228
229	33335	39132
230	33415	38912
231	33511	38711
232	33613	38518
233	33692	38299
234	33781	38093
235	33853	37869
236	33937	37660
237	34025	37456
238	34118	37258
239	34202	37052
240	34289	36850
241	34367	36639
242	34452	36437
243	34542	36240
244	34622	36036
245	34799	35930
246	34881	35728
247	34960	35524
248	35042	35323
249	35109	35109
250	35182	34901
251	35256	34697
252	35338	34500
253	35459	34342
254	35546	34152
255	35648	33977
256	35754	33806
257	36084	33846
258	36278	33757
259	36376	33578
260	36497	33420
261	36580	33229
262	36677	33051
263	36784	32883
264	36892	32715
265	36989	32539
266	37075	32353
267	37169	32176
268	37271	32006
269	37412	31869
270	37644	31810
271	37774	31664
272	37886	31502
273	37962	31312
274	38037	31121
275	38113	30932
276	38211	30762
277	38296	30582
278	38374	30397
279	38450	30211
280	38532	30030
281	38608	29846
282	38674	29655
283	38743	29466
284	38813	29280
285	38888	29098
286	38958	28913
287	39036	28735
288	39109	28554
289	39188	28378
290	39278	28210
291	39362	28039
292	39446	27868
293	39545	27708
294	39624	27535
295	39705	27364
296	39813	27212
297	39905	27050
298	39989	26882
299	40078	26719
300	40161	26552
301	40248	26387
302	40327	26219
303	40403	26049
304	40496	25891
305	40580	25727
306	40645	25552
307	40728	25389
308	40802	25220
309	40876	25053
310	40953	24888
311	41033	24725
312	41109	24560
313	41183	24395
314	41269	24237
315	41401	24107
316	41545	23983
317	41685	23318	318	41822	23319	319	41926	23320	320	42033	23321	321	42145	23322	322	42245	23323	323	42331	22324	324	42430	22325	325	42535	22326	326	42627	22327	327	42716	22328	328	42831	22329	329	42933	22330	330	43039	21331	331	43130	21332	332	43212	21333	333	43291	21334	334	43377	21335	335	43455	21336	336	43531	21337	337	43612	20338	338	43695	20339	339	43778	20340	340	43854	20341	341	43930	20342	342	44008	20343	343	44079	19344	344	44175	19345	44323	19727
346	44438	19593
347	44534	19451
348	44638	19313
349	44739	19174
350	44834	19032
351	44922	18888
352	45017	18746
353	45110	18605
354	45234	18476
355	45324	18333
356	45420	18193
357	45499	18047
358	45585	17903
359	45670	17760
360	45749	17615
361	45831	17471
362	45910	17326
363	46006	17189
364	46096	17049
365	46207	16917
366	46312	16783
367	46430	16654
368	46527	16517
369	46605	16374
370	46698	16237
371	46785	16098
372	46907	15971
373	47056	15853
374	47202	15734
375	47309	15602
376	47399	15464
377	47485	15326
378	47559	15183
379	47646	15046
380	47737	14910
381	47815	14770
382	47903	14633
383	47981	14494
384	48065	14357
385	48146	14219
386	48234	14084
387	48319	13947
388	48402	13811
389	48493	13677
390	48574	13541
391	48675	13410
392	48772	13279
393	48868	13147
394	48985	13021
395	49074	12888
396	49157	12753
397	49250	12621
398	49352	12492
399	49444	12361
400	49531	12228
401	49635	12100
402	49743	11973
403	49838	11842
404	49936	11713
405	50028	11583
406	50141	11457
407	50224	11325
408	50301	11191
409	50395	11062
410	50499	10935
411	50630	10814
412	50762	10693
413	50866	10566
414	50950	10435
415	51033	10304
416	51119	10174
417	51202	10044
418	51291	9915
419	51496	9808
420	51585	9680
421	51697	9555
422	51785	9426
423	51871	9297
424	51954	9168
425	52049	9041
426	52133	8912
427	52214	8783
428	52360	8665
429	52519	8549
430	52677	8433
431	52844	8318
432	52942	8192
433	53032	8064
434	53123	7937
435	53216	7811
436	53302	7684
437	53393	7558
438	53486	7432
439	53585	7307
440	53695	7183
441	53778	7056
442	53866	6930
443	53961	6805
444	54043	6679
445	54129	6553
446	54213	6427
447	54307	6303
448	54387	6177
449	54437	6048
450	54492	5920
451	54545	5792
452	54596	5664
453	54655	5537
454	54707	5410
455	54760	5283
456	54812	5157
457	54884	5033
458	54953	4908
459	55019	4784
460	55083	4659
461	55157	4536
462	55217	4412
463	55273	4288
464	55322	4164
465	55377	4040
466	55429	3916
467	55481	3793
468	55532	3670
469	55584	3547
470	55635	3425
471	55684	3303
472	55736	3181
473	55787	3060
474	55841	2939
475	55897	2818
476	55947	2697
477	56013	2578
478	56060	2457
479	56110	2337
480	56164	2218
481	56216	2099
482	56268	1980
483	56320	1861
484	56370	1743
485	56427	1625
486	56482	1507
487	56531	1390
488	56582	1272
489	56632	1155
490	56685	1039
491	56736	922
492	56786	806
493	56839	690
494	56889	574
495	56944	459
496	56998	344
497	57050	229
498	57099	114
499	57146	0
	0
